name	pop2020	pop2019	area	Density	rank
Central African Republic	4829.767	4745.185	622984	7.8974	125
New Zealand	4822.233	4783.063	270467	17.9713	126
Mauritania	4649.658	4525.696	1030700	4.6329	127
Panama	4314.767	4246.439	75417	58.098	128
Kuwait	4270.571	4207.083	17818	242.9313	129
Croatia	4105.267	4130.304	56594	72.1216	130
Moldova	4033.963	4043.263	33846	118.892	131
Georgia	3989.167	3996.765	69700	57.0985	132
Eritrea	3546.421	3497.117	117600	30.6247	133
Uruguay	3473.73	3461.734	181034	19.2514	134
Mongolia	3278.29	3225.167	1564110	2.1286	135
Bosnia and Herzegovina	3280.819	3301	51209	63.7284	136
Jamaica	2961.167	2948.279	10991	270.5362	137
Armenia	2963.243	2957.731	29743	99.7925	138
Qatar	2881.053	2832.067	11586	252.937	139
Albania	2877.797	2880.917	28748	99.9351	140
Puerto Rico	2860.853	2933.408	8870	318.8563	141
Lithuania	2722.289	2759.627	65300	41.1924	142
Namibia	2540.905	2494.53	825615	3.1338	143
Gambia	2416.668	2347.706	10689	232.664	144
Botswana	2351.627	2303.697	582000	4.119	145
Gabon	2225.734	2172.579	267668	8.5136	146
Lesotho	2142.249	2125.268	30355	71.1276	147
North Macedonia	2083.374	2083.459	25713	80.9963	148
Slovenia	2078.938	2078.654	20273	102.5366	149
Guinea-Bissau	1968.001	1920.922	36125	55.7922	150
Latvia	1886.198	1906.743	64559	28.9184	151
Bahrain	1701.575	1641.172	765	2285.3542	152
Equatorial Guinea	1402.985	1355.986	28051	51.6879	153
Trinidad and Tobago	1399.488	1394.973	5130	273.5624	154
Timor-Leste	1318.445	1293.119	14874	90.3505	155
Estonia	1326.535	1325.648	45227	29.3007	156
Mauritius	1271.768	1269.668	2040	624.2319	157
Cyprus	1207.359	1198.575	9251	131.4003	158
Eswatini	1160.164	1148.13	17364	67.5168	159
Djibouti	988	973.56	23200	43.1977	160
Fiji	896.445	889.953	18272	49.4147	161
Reunion	895.312	888.927	2511	359.0944	162
Comoros	869.601	850.886	1862	477.1488	163
Guyana	786.552	782.766	214969	3.6765	164
Bhutan	771.608	763.092	38394	20.313	165
Solomon Islands	686.884	669.823	28896	24.3631	166
Macau	649.335	640.445	30	21946.4667	167
Luxembourg	625.978	615.729	2586	245.4811	168
Montenegro	628.066	627.987	13812	45.4715	169
Western Sahara	597.339	582.463	266000	2.3003	170
Suriname	586.632	581.372	163820	3.6125	171
Cape Verde	555.987	549.935	4033	139.3251	172
Maldives	540.544	530.953	300	1812.0567	173
Malta	441.543	440.372	316	1401.2152	174
Brunei	437.479	433.285	5765	76.5884	175
Belize	397.628	390.353	22966	17.631	176
Guadeloupe	400.124	400.056	1628	245.7125	177
Bahamas	393.244	389.482	13943	28.4668	178
Martinique	375.265	375.554	1128	332.2207	179
Iceland	341.243	339.031	103000	3.3335	180
Vanuatu	307.145	299.882	12189	25.799	181
French Guiana	298.682	290.832	83534	3.6685	182
New Caledonia	285.498	282.75	18575	15.5164	183
Barbados	287.375	287.025	430	669.0953	184
French Polynesia	280.908	279.287	4167	67.8018	185
Mayotte	272.815	266.15	374	747.3663	186
Sao Tome and Principe	219.159	215.056	964	231.7095	187
Samoa	198.414	197.097	2842	70.4254	188
